"state","gconcept_best","rank","day"
"Utah","religious organization",1,"Thursday"
"Wisconsin","plant nursery",1,"Thursday"
"Massachusetts","used car dealer",1,"Thursday"
"New York","county government office",1,"Thursday"
"Pennsylvania","electric vehicle charging station",1,"Thursday"
"South Carolina","city government office",1,"Thursday"
"Connecticut","farm",1,"Thursday"
"Alabama","university",1,"Thursday"
"Nevada","transportation service",1,"Thursday"
"Arizona","car stereo store",1,"Thursday"
"Minnesota","state park",1,"Thursday"
"Mississippi","flea market",1,"Thursday"
"North Carolina","vacation home rental agency",1,"Thursday"
"Tennessee","flea market",1,"Thursday"
"Missouri","golf course",1,"Thursday"
"Maine","historical landmark",1,"Thursday"
"Nebraska","home improvement store",1,"Thursday"
"New Hampshire","park",1,"Thursday"
"Oregon","winery",1,"Thursday"
"Louisiana","parking lot",1,"Thursday"
"Kentucky","golf course",1,"Thursday"
"Rhode Island","historical landmark",1,"Thursday"
"Delaware","cell phone store",1,"Thursday"
"Iowa","home improvement store",1,"Thursday"
"Kansas","stadium",1,"Thursday"
"Idaho","resort hotel",1,"Thursday"
"New Jersey","spa",1,"Thursday"
"Vermont","american restaurant",1,"Thursday"
"Ohio","hiking area",1,"Thursday"
"South Dakota","american restaurant",1,"Thursday"
"North Dakota","home improvement store",1,"Thursday"
"California","soccer store",1,"Thursday"
"District of Columbia","federal government office",1,"Thursday"
"Hawaii","bed and breakfast",1,"Thursday"
"West Virginia","coffee shop",1,"Thursday"
"Washington","bus company",1,"Thursday"
"Maryland","farm",1,"Thursday"
"Montana","brewery",1,"Thursday"
"Idaho","general contractor",1,"Friday"
"South Carolina","city government office",1,"Friday"
"Illinois","boat rental service",1,"Friday"
"New York","music venue",1,"Friday"
"Kentucky","stadium",1,"Friday"
"Michigan","stadium",1,"Friday"
"Alabama","university",1,"Friday"
"Massachusetts","cultural center",1,"Friday"
"Kansas","stadium",1,"Friday"
"Oklahoma","school",1,"Friday"
"Washington","stadium",1,"Friday"
"Minnesota","business center",1,"Friday"
"Louisiana","stadium",1,"Friday"
"Texas","cultural center",1,"Friday"
"Hawaii","recreation center",1,"Friday"
"Indiana","state government office",1,"Friday"
"Arizona","skateboard park",1,"Friday"
"Connecticut","golf course",1,"Friday"
"North Carolina","hiking area",1,"Friday"
"Utah","religious organization",1,"Friday"
"New Jersey","historical landmark",1,"Friday"
"West Virginia","sandwich shop",1,"Friday"
"Colorado","swimming pool",1,"Friday"
"New Hampshire","park",1,"Friday"
"Nevada","vietnamese restaurant",1,"Friday"
"Florida","athletic field",1,"Friday"
"New Mexico","art gallery",1,"Friday"
"California","city courthouse",1,"Friday"
"Rhode Island","historical landmark",1,"Friday"
"Oregon","feed store",1,"Friday"
"Pennsylvania","auction house",1,"Friday"
"Missouri","stadium",1,"Friday"
"Tennessee","stadium",1,"Friday"
"Maine","historical landmark",1,"Friday"
"Vermont","bakery",1,"Friday"
"Maryland","pub",1,"Friday"
"District of Columbia","shopping center",1,"Friday"
"Delaware","bus station",1,"Friday"
"Mississippi","auto parts store",1,"Friday"
"Wisconsin","butcher shop",1,"Friday"
"Arkansas","university",1,"Friday"
"Georgia","garden center",1,"Friday"
"Nebraska","park",1,"Friday"
"Virginia","nature preserve",1,"Friday"
"Ohio","historical landmark",1,"Friday"
"Iowa","antique store",1,"Friday"
"North Dakota","liquor store",1,"Friday"
"South Dakota","coffee shop",1,"Friday"
"Idaho","general contractor",1,"Overall"
"Illinois","boat rental service",1,"Overall"
"South Carolina","city government office",1,"Overall"
"Michigan","stadium",1,"Overall"
"Indiana","state government office",1,"Overall"
"New York","music venue",1,"Overall"
"Alabama","university",1,"Overall"
"Oklahoma","school",1,"Overall"
"Georgia","school",1,"Overall"
"Maryland","stadium",1,"Overall"
"Kansas","stadium",1,"Overall"
"Texas","cultural center",1,"Overall"
"Massachusetts","cultural center",1,"Overall"
"Colorado","swimming pool",1,"Overall"
"New Mexico","art gallery",1,"Overall"
"Utah","religious organization",1,"Overall"
"Florida","university",1,"Overall"
"Nevada","parking garage",1,"Overall"
"Pennsylvania","electric vehicle charging station",1,"Overall"
"Wisconsin","plant nursery",1,"Overall"
"Virginia","stadium",1,"Overall"
"North Carolina","vacation home rental agency",1,"Overall"
"Connecticut","farm",1,"Overall"
"Arizona","car stereo store",1,"Overall"
"Kentucky","stadium",1,"Overall"
"Louisiana","stadium",1,"Overall"
"Minnesota","art center",1,"Overall"
"Maine","historical landmark",1,"Overall"
"Oregon","feed store",1,"Overall"
"Hawaii","recreation center",1,"Overall"
"Tennessee","car race track",1,"Overall"
"California","city courthouse",1,"Overall"
"New Hampshire","electronics store",1,"Overall"
"Delaware","electronics store",1,"Overall"
"Nebraska","home improvement store",1,"Overall"
"West Virginia","sandwich shop",1,"Overall"
"Rhode Island","historical landmark",1,"Overall"
"Missouri","golf course",1,"Overall"
"Iowa","home improvement store",1,"Overall"
"District of Columbia","federal government office",1,"Overall"
"Mississippi","coffee shop",1,"Overall"
"Vermont","pizza restaurant",1,"Overall"
"North Dakota","home improvement store",1,"Overall"
"Ohio","car race track",1,"Overall"
"Washington","bus company",1,"Overall"
"South Dakota","american restaurant",1,"Overall"
"Texas","city hall",2,"Wednesday"
"Oklahoma","place of worship",2,"Wednesday"
"Michigan","hot dog restaurant",2,"Wednesday"
"Illinois","dessert shop",2,"Wednesday"
"Nevada","vietnamese restaurant",2,"Wednesday"
"Maryland","beer store",2,"Wednesday"
"Indiana","farm",2,"Wednesday"
"New Hampshire","shopping center",2,"Wednesday"
"California","american restaurant",2,"Wednesday"
"Wisconsin","plant nursery",2,"Wednesday"
"Arizona","car stereo store",2,"Wednesday"
"New Jersey","mattress store",2,"Wednesday"
"New York","cake shop",2,"Wednesday"
"Florida","club",2,"Wednesday"
"Colorado","railroad company",2,"Wednesday"
"Pennsylvania","electric vehicle charging station",2,"Wednesday"
"Nebraska","park",2,"Wednesday"
"North Carolina","plant nursery",2,"Wednesday"
"Utah","tourist attraction",2,"Wednesday"
"Massachusetts","historical landmark",2,"Wednesday"
"South Carolina","city government office",2,"Wednesday"
"Delaware","electronics store",2,"Wednesday"
"New Mexico","historical landmark",2,"Wednesday"
"Louisiana","cafe",2,"Wednesday"
"Iowa","electronics store",2,"Wednesday"
"Tennessee","flea market",2,"Wednesday"
"Mississippi","liquor store",2,"Wednesday"
"Alabama","office supply store",2,"Wednesday"
"Minnesota","game store",2,"Wednesday"
"Maine","seafood restaurant",2,"Wednesday"
"Kansas","cosmetics store",2,"Wednesday"
"District of Columbia","gift shop",2,"Wednesday"
"Kentucky","furniture store",2,"Wednesday"
"Oregon","seafood restaurant",2,"Wednesday"
"Washington","garden",2,"Wednesday"
"Vermont","gas station",2,"Wednesday"
"Connecticut","bridal shop",2,"Wednesday"
"Missouri","home improvement store",1,"Wednesday"
"Arkansas","resort hotel",2,"Wednesday"
"Virginia","marina",2,"Wednesday"
"Georgia","school",2,"Wednesday"
"Idaho","park",2,"Wednesday"
"Ohio","office supply store",2,"Wednesday"
"Hawaii","store",2,"Wednesday"
"West Virginia","coffee shop",2,"Wednesday"
"South Dakota","shopping center",2,"Wednesday"
"North Dakota","liquor store",2,"Wednesday"
"Rhode Island","liquor store",2,"Wednesday"
"Illinois","building materials store",2,"Thursday"
"Michigan","farm equipment supplier",2,"Thursday"
"Oklahoma","school",2,"Thursday"
"Massachusetts","house cleaning service",2,"Thursday"
"New Mexico","art gallery",2,"Thursday"
"Texas","athletic field",2,"Thursday"
"Pennsylvania","railroad company",2,"Thursday"
"South Carolina","sports complex",2,"Thursday"
"New York","music venue",2,"Thursday"
"Nevada","parking garage",2,"Thursday"
"North Carolina","soccer field",2,"Thursday"
"Minnesota","art center",2,"Thursday"
"Wisconsin","state park",2,"Thursday"
"Maine","diner",2,"Thursday"
"Tennessee","car race track",2,"Thursday"
"Connecticut","bridal shop",2,"Thursday"
"Oregon","historical landmark",2,"Thursday"
"Florida","club",2,"Thursday"
"Utah","lodge",2,"Thursday"
"Louisiana","light rail station",2,"Thursday"
"Alabama","condominium complex",2,"Thursday"
"Arizona","place of worship",2,"Thursday"
"Iowa","park",2,"Thursday"
"Delaware","electronics store",2,"Thursday"
"Idaho","park",2,"Thursday"
"New Hampshire","mexican restaurant",2,"Thursday"
"Nebraska","park",2,"Thursday"
"New Jersey","playground",2,"Thursday"
"Missouri","golf club",2,"Thursday"
"Georgia","garden center",2,"Thursday"
"Kansas","home improvement store",2,"Thursday"
"Ohio","historical landmark",2,"Thursday"
"Indiana","farm",2,"Thursday"
"Mississippi","coffee shop",2,"Thursday"
"Vermont","bakery",2,"Thursday"
"California","cabin rental agency",2,"Thursday"
"North Dakota","liquor store",2,"Thursday"
"South Dakota","coffee shop",2,"Thursday"
"Rhode Island","electronics store",2,"Thursday"
"Arkansas","chinese restaurant",1,"Thursday"
"District of Columbia","bakery",2,"Thursday"
"Virginia","hookah bar",2,"Thursday"
"West Virginia","sandwich shop",2,"Thursday"
"Kentucky","vaporizer store",2,"Thursday"
"Maryland","golf course",2,"Thursday"
"Washington","garden center",2,"Thursday"
"Hawaii","place of worship",2,"Thursday"
"New York","car race track",2,"Friday"
"Oklahoma","stadium",2,"Friday"
"Massachusetts","city hall",2,"Friday"
"Illinois","performing arts group",2,"Friday"
"North Carolina","vacation home rental agency",2,"Friday"
"Connecticut","bridal shop",2,"Friday"
